ID	Pe	Time	Y
58	58	9	77.4709762
59	59	9	67.7436428
60	60	9	85.1359762
61	61	9	64.6309762
62	62	9	69.6231428
63	63	9	73.7314762
64	64	9	106.3929762
65	65	9	112.1029762
66	66	9	86.0149762
67	67	9	61.4696428
68	68	9	58.6143095
69	69	9	84.7686428
70	70	9	99.5636428
71	71	9	69.9159762
72	72	9	75.0993095
73	73	9	78.5029762
74	74	9	106.8379762
75	75	9	92.0043095
76	76	9	66.8913095
77	77	9	99.9649762
78	78	9	58.8639762
79	79	9	67.9174762
80	80	9	73.3946428
81	81	9	87.4733095
82	82	9	70.5751428
83	83	9	98.4206428
84	84	9	79.3716428
85	85	9	62.6476428
86	86	9	67.8653095
87	87	9	75.7199762
88	88	9	64.2274762
89	89	9	62.4459762
1	1	10	106.1290539
2	2	10	87.4210539
3	3	10	80.3787206
4	4	10	74.2570539
5	5	10	70.7050539
6	6	10	96.2977206
7	7	10	62.4247206
8	8	10	92.0040539
9	9	10	100.8092206
10	10	10	86.7643872
11	11	10	90.2880539
12	12	10	109.3832206
13	13	10	76.3713872
14	14	10	104.7420539
15	15	10	62.8553872
16	16	10	96.7033872
17	17	10	99.5657206
18	18	10	64.4910539
19	19	10	68.7920539
20	20	10	96.8037206
21	21	10	109.6360539
22	22	10	106.9592206
23	23	10	106.3250539
24	24	10	95.9135539
25	25	10	109.6452206
26	26	10	96.8897206
27	27	10	79.1673872
28	28	10	78.2652206
29	29	10	123.5943872
30	30	10	134.4683872
31	31	10	64.3270539
32	32	10	80.0933872
33	33	10	133.1837206
34	34	10	85.5473872
35	35	10	81.3953872
36	36	10	98.5035539
37	37	10	78.8632206
38	38	10	100.6530539
39	39	10	66.9527206
40	40	10	87.6095539
41	41	10	94.9277206
42	42	10	100.5293872
43	43	10	127.5567206
44	44	10	91.7628872
45	45	10	108.1530539
46	46	10	90.1640539
47	47	10	84.2440539
48	48	10	122.2997206
49	49	10	96.5295539
50	50	10	92.7153872
51	51	10	90.3740539
52	52	10	117.2187206
53	53	10	111.9050539
54	54	10	99.9202206
55	55	10	111.7953872
56	56	10	74.6323872
57	57	10	64.9277206
58	58	10	94.0287206
59	59	10	78.5207206
60	60	10	100.6537206
61	61	10	77.5433872
62	62	10	80.2628872
63	63	10	91.5233872
64	64	10	128.1623872
65	65	10	126.6817206
66	66	10	103.5080539
67	67	10	74.4263872
68	68	10	70.4143872
69	69	10	99.0887206
70	70	10	116.9560539
71	71	10	83.4220539
72	72	10	83.0223872
73	73	10	96.1217206
74	74	10	127.0573872
75	75	10	101.4707206
76	76	10	76.7250539
77	77	10	123.9463872
